1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
93	-0.527993	17.352117	1.191283	0.046583	1.7
94	-0.464284	18.350313	1.161064	0.027934	1.8
95	-0.440755	17.591781	1.183885	0.027085	1.7
96	-0.401656	16.862726	1.206681	0.023662	10.4
97	-0.449387	17.516508	1.186198	0.024335	1.9
98	-0.528638	17.124541	1.198394	0.037020	1.8
99	-0.435710	18.121738	1.167847	0.037667	1.9
100	-0.430666	17.360417	1.191025	0.042540	1.6
101	-0.450519	16.599112	1.215141	0.026636	1.9
102	-0.466251	17.598673	1.183673	0.052707	2.0
103	-0.451526	18.598570	1.153785	0.027785	1.8
104	-0.434514	19.598443	1.125369	0.026633	1.9
105	-0.551589	18.841211	1.146758	0.045550	1.7
106	-0.446603	19.818167	1.119311	0.036933	1.5
107	-0.484573	20.528538	1.100164	0.058223	1.9
108	-0.524962	21.528520	1.074296	0.038731	2.4
109	-0.506185	22.528518	1.049616	0.027433	2.7
110	-0.485049	23.525162	1.026121	0.020295	1.8
111	-0.459200	22.833201	1.042320	0.028017	1.7
112	-0.514474	22.085230	1.060415	0.029507	1.7
113	-0.514314	21.326927	1.079413	0.032480	2.2
114	-0.498550	20.649966	1.096957	0.068385	2.3
115	-0.466163	19.889056	1.117370	0.026595	2.2
116	-0.503404	20.889052	1.090696	0.082007	2.5
117	-0.510089	21.888438	1.065281	0.033880	2.7
118	-0.498575	22.888438	1.041008	0.026335	2.0
119	-0.461558	23.845442	1.018793	0.010657	1.7
120	-0.450224	24.528361	1.003511	0.038811	2.0
121	-0.401740	23.855529	1.018564	0.019715	1.9
122	-0.535711	23.096640	1.036093	0.012952	1.8
123	-0.447208	22.517507	1.049881	0.042744	1.8
124	-0.510065	23.433107	1.028247	0.034377	2.1
125	-0.527931	22.675307	1.046088	0.013810	1.6
126	-0.414169	22.433637	1.051909	0.025181	1.7
127	-0.532350	22.895889	1.040831	0.049179	2.0
128	-0.536788	23.773029	1.020441	0.062787	1.9
129	-0.497702	23.011652	1.038094	0.014517	1.9
130	-0.410341	22.262980	1.056058	0.011644	1.9
131	-0.455682	22.463808	1.051178	0.038143	1.5
132	-0.414654	21.773672	1.068139	0.025844	1.9
133	-0.496847	22.681204	1.045947	0.026919	1.7
134	-0.460013	22.296588	1.055238	0.030201	1.5
135	-0.448121	23.290630	1.031555	0.028381	1.9
136	-0.520062	24.223452	1.010277	0.018096	2.0
137	-0.451667	23.509086	1.026492	0.026663	1.9
138	-0.493283	24.309877	1.008350	0.023820	2.9
139	-0.499346	24.899258	0.995402	0.040425	2.3
140	-0.454125	25.867499	0.974838	0.047103	2.6
141	-0.397970	25.121323	0.990610	0.032173	2.3
142	-0.508279	25.458064	0.983429	0.026404	2.5
143	-0.467660	26.428899	0.963299	0.004710	2.1
144	-0.508352	26.807368	0.955673	0.034430	1.9
145	-0.436254	27.033084	0.951182	0.055795	2.0
146	-0.495109	27.580531	0.940464	0.030480	2.1
147	-0.509724	27.828831	0.935681	0.010845	2.2
148	-0.489803	28.650055	0.920205	0.029831	2.3
149	-0.514634	28.722937	0.918856	0.020256	2.3
150	-0.461128	29.585975	0.903180	0.024482	2.1
151	-0.439060	28.928341	0.915076	0.019000	2.4
152	-0.466351	29.721543	0.900766	0.024543	2.4
153	-0.476790	30.346337	0.889805	0.008258	2.4
154	-0.508694	29.805154	0.899283	0.022548	2.3
155	-0.570284	30.067428	0.894665	0.010351	2.4
156	-0.501024	30.372011	0.889360	0.023485	2.8
157	-0.498284	30.917559	0.880015	0.059268	3.0
158	-0.459120	31.330714	0.873067	0.066336	2.3
159	-0.479849	32.330714	0.856696	0.033696	3.0
160	-0.421842	33.330713	0.840928	0.030197	2.3
161	-0.509976	32.576275	0.852770	0.017927	2.3
162	-0.523983	31.836979	0.864702	0.010588	2.3
163	-0.480759	31.931938	0.863150	0.016558	2.4
164	-0.473150	32.161411	0.859425	0.035649	2.3
165	-0.450835	32.933596	0.847120	0.031095	2.3
166	-0.496589	33.933309	0.831703	0.010572	2.6
167	-0.472684	34.792259	0.818899	0.026782	2.2
168	-0.432895	34.172124	0.828103	0.018808	2.3
